,y_true,predicted,lower,upper
1865,2.568062,1.9276547,-1.1447704,5.00008
1866,2.3123589,2.2425144,-1.1011922,5.5862207
1867,0.6207115,0.87051725,-2.4044065,4.145441
1868,-0.15851901,0.057048142,-2.9909098,3.105006
1869,0.004179597,0.092900336,-2.7851486,2.9709492
1870,0.19943425,0.1892668,-2.7795544,3.1580877
1871,0.042348407,0.036670685,-2.9671836,3.040525
1872,-0.11683119,-0.025320888,-3.4721656,3.4215236
1873,-0.22910379,-0.2399765,-3.5273864,3.0474336
1874,0.78555954,0.43250978,-3.0733495,3.9383688
1875,2.0616026,1.6403761,-1.6027043,4.883456
1876,1.574701,1.2457935,-2.112924,4.6045113
1877,0.42870215,0.3485415,-2.9008257,3.5979087
1878,-0.16851445,-0.3248124,-3.483519,2.8338943
1879,-0.73052186,-0.77684015,-3.9557605,2.40208
1880,-0.97680235,-1.0111228,-4.1049886,2.0827427
1881,-1.2605371,-1.2516332,-4.4351664,1.9318998
1882,-1.2434624,-1.2257018,-2.590819,0.13941526
1883,-1.2038153,-1.1414043,-2.1077602,-0.17504841
1884,-1.0128899,-1.0292346,-2.144828,0.086358786
1885,-0.9181366,-0.9339121,-2.3006175,0.43279332
1886,-0.878214,-0.87321615,-2.6998053,0.95337296
1887,-0.50157964,-0.4914482,-2.7894478,1.8065515
1888,0.63449234,0.75435615,-1.9182768,3.426989
1889,2.4559677,2.2183986,-0.81276655,5.2495637
1890,2.3416977,2.3208764,-0.92499113,5.566744
1891,0.5543288,0.84940755,-2.357398,4.0562134
1892,0.04759052,0.01649648,-3.1667345,3.1997273
1893,0.017187688,0.040866375,-2.986108,3.0678408
1894,0.23075897,0.24574924,-2.5819101,3.0734086
1895,0.08431753,0.12761337,-2.828162,3.0833886
1896,-0.18881348,-0.20722246,-3.2964387,2.8819938
1897,-0.2425043,-0.2862853,-3.33232,2.7597492
1898,0.70636445,0.39817274,-2.4309196,3.227265
1899,2.0161653,1.6617672,-1.3689928,4.6925273
1900,1.6331556,1.6532874,-1.4330895,4.739664
1901,0.42008963,0.64213026,-2.3071737,3.591434
1902,-0.46984434,0.04782021,-2.759797,2.8554378
1903,-0.8289065,-0.52578163,-3.2828848,2.2313216
1904,-1.0172862,-0.84979904,-3.7327032,2.033105
1905,-1.1621343,-1.0978355,-4.2499466,2.0542758
1906,-1.2257113,-1.2381177,-2.568955,0.092719555
1907,-1.1568276,-1.1433331,-2.2349124,-0.05175376
1908,-0.9959395,-1.0489521,-2.4923294,0.39442515
1909,-0.89129305,-0.96205175,-2.944665,1.0205616
1910,-0.89742833,-0.88527155,-3.3340366,1.5634935
1911,-0.5417814,-0.6522083,-3.30957,2.0051534
1912,0.5385421,0.40100098,-2.3793466,3.1813486
1913,2.4308283,2.2258415,-0.6331732,5.084856
1914,2.4250662,2.4294653,-0.86071515,5.7196455
1915,0.8639901,0.9706774,-2.3600404,4.3013954
1916,-0.021358771,0.27113795,-2.9650478,3.5073237
1917,0.2628839,0.3446375,-2.9792151,3.66849
1918,0.55226725,0.5222882,-2.7949252,3.8395019
1919,0.1864729,0.40349042,-3.0092502,3.8162313
1920,0.10235262,0.16542512,-3.35815,3.6890001
1921,0.47565842,0.23220158,-3.2938073,3.7582104
1922,1.1038182,0.8505863,-2.5179152,4.219088
1923,1.8344738,1.6264286,-1.7620361,5.0148935
1924,1.156897,1.2090735,-2.36716,4.785307
1925,0.08564931,0.045704186,-3.5949824,3.6863906
1926,-0.9023159,-0.68813014,-4.126299,2.7500384
1927,-1.0151346,-1.0890529,-4.6574802,2.4793746
1928,-1.2310522,-1.1183572,-4.8108225,2.5741084
1929,-1.2447224,-1.1276146,-5.0062885,2.751059
1930,-1.2061516,-1.1135566,-2.9723186,0.7452054
1931,-0.9893839,-1.0712305,-2.2583604,0.115899205
1932,-0.9974998,-1.0833735,-2.1749084,0.008161306
1933,-1.1879638,-1.1624305,-2.446237,0.12137592
1934,-1.2510121,-1.2150276,-2.5835614,0.15350628
1935,-1.2150369,-1.1142963,-2.599609,0.37101638
1936,-0.8600508,-0.8404974,-2.79087,1.1098752
1937,-0.10501449,-0.4072841,-2.7245896,1.9100214
1938,1.6262053,0.8139044,-1.6248895,3.2526984
1939,2.1452296,2.0849423,-0.44922018,4.619105
1940,2.1589015,2.2487364,-0.45327377,4.9507465
1941,1.902057,1.6015506,-1.1928976,4.395999
1942,1.6627957,1.0415648,-1.6850084,3.768138
1943,1.5329932,0.916425,-2.0235837,3.8564336
1944,1.2110207,0.8601347,-2.457934,4.1782036
1945,0.8969032,0.7033552,-2.5620494,3.96876
1946,0.39265144,0.40317678,-2.7457335,3.552087
1947,0.2512252,0.014351428,-3.2970529,3.3257556
1948,-1.0090405,-0.32945088,-3.6903212,3.0314195
1949,-2.0188155,-0.8377105,-4.052111,2.37669
1950,-1.6358107,-1.0574818,-4.2222576,2.1072943
1951,-1.5946218,-1.035632,-4.308799,2.237535
1952,-1.4207531,-1.0563233,-4.43309,2.3204436
1953,-1.1309758,-1.1060576,-4.584532,2.3724165
1954,-1.130987,-1.0768657,-3.5553298,1.4015985
1955,-0.9058073,-1.072516,-3.223671,1.078639
1956,-0.8478574,-1.090872,-3.32493,1.1431859
1957,-1.0705047,-1.4469814,-3.8849735,0.99101067
1958,-1.5669802,-1.4935272,-3.8404496,0.8533952
1959,-1.262316,-1.2738104,-3.1218774,0.57425666
1960,-1.0588244,-0.993976,-3.1465964,1.1586446
1961,-0.50694907,-0.5816529,-2.7637005,1.6003947
1962,1.4210622,0.5948359,-1.8998386,3.0895104
1963,2.3966906,1.9626863,-0.7553098,4.680682
1964,2.1223545,2.2159197,-0.2581346,4.689974
1965,1.6831486,1.9075224,-0.75070834,4.565753
1966,1.4244578,1.6346738,-1.2756646,4.5450125
1967,0.74943393,1.301434,-1.5338194,4.1366873
1968,0.6489566,1.1016871,-1.7869693,3.9903436
1969,-0.047868118,0.78409994,-2.221593,3.7897925
1970,-0.3090255,0.6493108,-2.29636,3.5949817
1971,-1.2067903,0.084718645,-2.7301426,2.89958
1972,-1.8081213,-0.49983045,-3.1189806,2.1193197
1973,-1.8724406,-1.249973,-3.804485,1.304539
1974,-1.4375949,-1.7392462,-4.570762,1.0922698
1975,-1.2141134,-1.5737534,-4.2682714,1.120765
1976,-1.0891438,-1.495647,-4.2413206,1.250027
1977,-1.0421834,-1.4293298,-4.3428373,1.484178
1978,-0.8616582,-1.3271595,-3.2820928,0.62777376
1979,0.15223503,0.014125526,-1.7311077,1.7593589
1980,0.60381067,-0.20273364,-2.123528,1.7180607
1981,0.98226404,-0.22056401,-1.917298,1.47617
1982,0.6719799,0.5086653,-1.3457849,2.3631155
1983,1.0454739,1.9452066,0.13527822,3.755135
1984,1.1717238,1.7261581,-0.41864872,3.870965
1985,0.47872978,0.5725337,-2.2707882,3.415856
1986,-0.34339803,-0.109327376,-2.582863,2.3642085
